,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,1.1258233070373536,0.008033026227308697,0.06668343544006347,0.003148300430486452,True,entropy,1,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
33,0.11547651290893554,0.0023863821527386874,0.007283926010131836,6.773521764880702e-05,True,entropy,4,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
34,0.5725586891174317,0.004078923237920493,0.03431234359741211,0.0015643555930389256,True,entropy,4,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
35,1.1579501628875732,0.028081596153979173,0.06785969734191895,0.001121808261801011,True,entropy,4,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.012915992736816406,0.00046488643452955954,0.0014589309692382812,5.330420954660409e-05,True,gini,2,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
36,0.012813377380371093,0.00035352751287036805,0.0014284610748291015,2.558692373311463e-05,True,entropy,5,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
12,0.012677288055419922,0.0001524355694336033,0.0014590740203857422,7.431815740364973e-05,True,gini,4,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
32,0.014407873153686523,0.0014601442939321133,0.0015817642211914062,0.00030497442248450746,True,entropy,4,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
16,0.012804269790649414,0.00014558159399508455,0.0014727115631103516,5.84157631439022e-05,True,gini,5,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
28,0.012753725051879883,0.00017863958123765717,0.0013989448547363282,1.1289667289449152e-05,True,entropy,3,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,70
8,0.01354975700378418,0.001984129679689304,0.0014133453369140625,1.558973128957875e-05,True,gini,3,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}",1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,76
24,0.012768745422363281,7.907665354073885e-05,0.001403474807739258,1.4974205280251027e-05,True,entropy,2,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 10}",1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,76
40,0.009345436096191406,0.00020107701113657116,0.001442861557006836,3.215537508189838e-05,False,gini,1,10,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}",0.95,0.9,1.0,0.9,1.0,0.95,0.04472135954999579,78
20,0.012989282608032227,0.000134645000700306,0.001442289352416992,2.5248786431444905e-05,True,entropy,1,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}",0.9,0.95,0.85,0.9,1.0,0.9199999999999999,0.05099019513592784,79
0,0.01351318359375,0.001293164162732642,0.0014464855194091797,1.7757303092099155e-05,True,gini,1,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}",0.9,0.95,0.9,0.9,0.95,0.9199999999999999,0.024494897427831747,79
